index,lastNameEn,lastNameGe,count
607,tchankvetadze,ჭანკვეტაძე,1188
608,ninua,ნინუა,1188
609,abshilava,აბშილავა,1187
610,tediashvili,თედიაშვილი,1184
611,menteshashvili,მენთეშაშვილი,1181
612,apkhazava,აფხაზავა,1179
613,lemonjava,ლემონჯავა,1178
614,gergedava,გერგედავა,1178
615,bobokhidze,ბობოხიძე,1176
616,tchkhonia,ჭყონია,1175
617,dzadzamia,ძაძამია,1174
618,baratashvili,ბარათაშვილი,1174
619,chikvaidze,ჩიკვაიძე,1174
620,getsadze,გეწაძე,1172
621,nasibova,ნასიბოვა,1169
622,gogatishvili,გოგატიშვილი,1168
623,baghaturia,ბაღათურია,1165
624,shvangiradze,შვანგირაძე,1163
625,paqsadze,პაქსაძე,1160
626,sidamonidze,სიდამონიძე,1160
627,ivanidze,ივანიძე,1159
628,gvaramadze,გვარამაძე,1154
629,akobia,აკობია,1154
630,khitarishvili,ხითარიშვილი,1152
631,nikuradze,ნიკურაძე,1152
632,bedoshvili,ბედოშვილი,1150
633,darsalia,დარსალია,1150
634,todadze,თოდაძე,1149
635,sebiskveradze,სებისკვერაძე,1148
636,osmanovi,ოსმანოვი,1146
637,manjgaladze,მანჯგალაძე,1143
638,daraselia,დარასელია,1142
639,mirianashvili,მირიანაშვილი,1141
640,gabelaia,გაბელაია,1141
641,narsia,ნარსია,1141
642,khelashvili,ხელაშვილი,1140
643,khomasuridze,ხომასურიძე,1138
644,qvartskhava,ქვარცხავა,1137
645,maghlaperidze,მაღლაფერიძე,1135
646,ebralidze,ებრალიძე,1135
647,gogilashvili,გოგილაშვილი,1134
648,orujovi,ორუჯოვი,1128
649,chogovadze,ჩოგოვაძე,1125
650,komakhidze,კომახიძე,1123
651,gelenidze,გელენიძე,1122
652,kutaladze,კუტალაძე,1121
653,kvashilava,კვაშილავა,1121
654,grdzelidze,გრძელიძე,1121
655,tetradze,თეთრაძე,1119
656,kochalidze,კოჩალიძე,1118
657,mamporia,მამფორია,1117
658,nodia,ნოდია,1115
659,vardiashvili,ვარდიაშვილი,1114
660,patsatsia,ფაცაცია,1111
661,tsukhishvili,ცუხიშვილი,1111
662,oboladze,ობოლაძე,1109
663,gigolashvili,გიგოლაშვილი,1107
664,jajanidze,ჯაჯანიძე,1106
665,loria,ლორია,1105
666,porchkhidze,ფორჩხიძე,1104
667,oganezovi,ოგანეზოვი,1103
668,sharadze,შარაძე,1099
669,lashkhia,ლაშხია,1099
670,gvaramia,გვარამია,1098
671,rizhamadze,რიჟამაძე,1096
672,kvizhinadze,კვიჟინაძე,1095
673,mirtskhulava,მირცხულავა,1095
674,charkviani,ჩარკვიანი,1094
675,meskhia,მესხია,1093
676,isaeva,ისაევა,1091
677,eradze,ერაძე,1091
678,skhiladze,სხილაძე,1090
679,gotsadze,გოცაძე,1090
680,tsagareishvili,ცაგარეიშვილი,1089
681,dundua,დუნდუა,1086
682,sulkhanishvili,სულხანიშვილი,1085
683,meskhidze,მესხიძე,1084
684,ghvaladze,ღვალაძე,1082
685,paghava,ფაღავა,1081
686,nadareishvili,ნადარეიშვილი,1081
687,mamukashvili,მამუკაშვილი,1079
688,ugulava,უგულავა,1079
689,zaqaraia,ზაქარაია,1077
690,gogolashvili,გოგოლაშვილი,1077
691,samadashvili,სამადაშვილი,1077
692,sanaia,სანაია,1076
693,shoshiashvili,შოშიაშვილი,1075
694,machaidze,მაჩაიძე,1075
695,bulia,ბულია,1074
696,chitishvili,ჩიტიშვილი,1072
697,mamasakhlisi,მამასახლისი,1072
698,omarovi,ომაროვი,1071
699,tsaqadze,წაქაძე,1070
700,trapaidze,ტრაპაიძე,1070
701,zaqaidze,ზაქაიძე,1069
702,chkhetiani,ჩხეტიანი,1068
703,baghdavadze,ბაღდავაძე,1067
704,chitadze,ჩიტაძე,1066
705,paitchadze,პაიჭაძე,1065
706,barabadze,ბარაბაძე,1065
707,endeladze,ენდელაძე,1064
708,malakhmadze,მალაყმაძე,1061
709,sukhitashvili,სუხიტაშვილი,1061
710,apaqidze,აფაქიძე,1061
