rus,en,matched
Ваго,Vago,ვანო
Иса-оглы,Isa-ogli,ისაბალი
Алистрахо,Alistraho,ალისტრახო
Ншан,Nshan,ნშან
Алексий,Aleksii,ალეკსეი
Герсан,Gersan,გერსან
Вазно,Vazno,ვანო
Домент,Doment,დომენტ
Сеит,Seit,სეით
Исай,Isai,ისა
Амир,Amir,ამირ
Саид,Said,საიდ
Джото,Dzhoto,ხოთო
Агабек,Agabek,აგაბეკ
Дзуку,Dzuku,დურუ
Вали-оглы,Vali-ogli,ვასილი
Габро,Gabro,გაბრო
Есиф,Esif,ბესიკ
Артюш,Artyush,არტუშ
Салико,Saliko,სალიკო
Казбек,Kazbek,კაზბეკ
Дианос,Dianos,დიანოზ
Алек.,Alek.,ალეკო
Боград,Bograd,ბაგრად
Исакий,Isakii,ისაკი
Вахтангий,Vahtangii,ვახტანგი
Алекс,Aleks,ალეკო
Оваким,Ovakim,ოვაკიმ
Сарапион,Sarapion,სერაპიონ
Баруси,Barusi,ბარუსი
Капито,Kapito,კაპიტო
Силибистро,Silibistro,სილიბისტრო
Сафрон,Safron,სამსონ
Захари,Zahari,ზახარი
Бидзин,Bidzin,ბიძინა
Клим,Klim,ალიმ
Юлян,YUlyan,სულტან
Ал.,Al.,ალა
Орести,Oresti,ორესტი
Варшам,Varsham,ვარშამ
Ивлян,Ivlyan,ივან
Ерастий,Erastii,ერასტი
Васил.,Vasil.,ვასილ
Закро,Zakro,ზაქრო
Шамил,SHamil,შამილ
Микич,Mikich,მიკიჩ
Наби,Nabi,ნაბი
Никола,Nikola,ნიკოლა
Карума,Karuma,ქარუმა
Феофан,Feofan,ლევან
Чито,CHito,ჩინო
Атар,Atar,ოთარ
Аведис,Avedis,ავეტის
Тито,Tito,ტიტო
Гаджи,Gadzhi,გვაძი
Касум,Kasum,კასუმ
Якуб,YAkub,იაკუბ
Евтихи,Evtihi,ევტიხი
Станислав,Stanislav,სტანისლავ
Турсун,Tursun,დურსუნ
Овсеп,Ovsep,ოვსეპ
Арсений,Arsenii,არსენი
Лево,Levo,ლევო
Осман-оглы,Osman-ogli,მანოლი
Севастий,Sevastii,სევასტი
Евгени,Evgeni,ევგენი
Ким,Kim,კიმ
Мирьян,Miryan,მირიან
Коко,Koko,კაკო
Гугу,Gugu,გუგუ
Ясан,YAsan,გასან
Сонка,Sonka,სონია
Мушек,Mushek,მუშეგ
Дикран,Dikran,ტიგრან
Гугула,Gugula,გუგულა
Оганнес,Ogannes,ოგანნეს
Б.,B.,აბო
Георк,Geork,გევორკ
Самед,Samed,სამედ
Дорофей,Dorofei,დოროთე
Вадим,Vadim,ვადიმ
